GEO_ID,NAME,line_no,label,total,total_moe,below_pl,below_pl_moe,below_pl_pct,below_pl_pct_moe
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",001,Population for whom poverty status is determined,10955,907,2475,879,22.6,7.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",002,Under 18 years,3517,634,1209,601,34.4,14.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",003,Under 5 years,1162,283,394,257,33.9,19.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",004,5 to 17 years,2355,614,815,500,34.6,17.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",005,Related children of householder under 18 years,3517,634,1209,601,34.4,14.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",006,18 to 64 years,6219,504,1190,427,19.1,6.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",007,18 to 34 years,2714,417,730,346,26.9,12.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",008,35 to 64 years,3505,368,460,200,13.1,5.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",009,60 years and over,1508,205,107,86,7.1,5.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",010,65 years and over,1219,176,76,78,6.2,6.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",011,Male,5274,677,900,381,17.1,7.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",012,Female,5681,557,1575,665,27.7,9.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",013,White alone,6336,657,859,372,13.6,5.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",014,Black or African American alone,3996,887,1548,771,38.7,17.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",015,American Indian and Alaska Native alone,60,53,0,20,0,41.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",016,Asian alone,148,88,12,21,8.1,14.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",017,Native Hawaiian and Other Pacific Islander alone,0,20,0,20,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",018,Some other race alone,76,106,0,20,0,36.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",019,Two or more races,339,202,56,58,16.5,16.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",020,Hispanic or Latino origin (of any race),636,410,142,169,22.3,28.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",021,"White alone, not Hispanic or Latino",5811,610,752,376,12.9,6.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",022,Population 25 years and over,6388,488,873,255,13.7,4.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",023,Less than high school graduate,371,191,150,134,40.4,27.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",024,High school graduate (includes equivalency),2069,397,388,179,18.8,8.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",025,"Some college, associate's degree",1830,336,293,155,16,7.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",026,Bachelor's degree or higher,2118,415,42,39,2,1.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",027,Civilian labor force 16 years and over,5318,530,855,328,16.1,6.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",028,Employed,5040,499,804,328,16,6.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",029,Male,2275,346,195,145,8.6,6.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",030,Female,2765,365,609,317,22,10.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",031,Unemployed,278,174,51,62,18.3,21.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",032,Male,147,130,12,20,8.2,15.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",033,Female,131,105,39,59,29.8,36.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",034,Population 16 years and over,7928,585,1441,475,18.2,6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",035,"Worked full-time, year-round in the past 12 months",3280,546,138,150,4.2,4.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",036,Worked part-time or part-year in the past 12 months,2262,357,726,301,32.1,11.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",037,Did not work,2386,399,577,272,24.2,10.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",038,50 percent of poverty level,1540,793,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",039,125 percent of poverty level,2952,919,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",040,150 percent of poverty level,3148,928,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",041,185 percent of poverty level,4296,1007,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",042,200 percent of poverty level,4411,1011,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",043,300 percent of poverty level,6232,1044,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",044,400 percent of poverty level,7378,1042,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",045,500 percent of poverty level,8567,1028,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",046,UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,1268,390,401,245,31.6,14.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",047,Male,575,239,187,162,32.5,20.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",048,Female,693,240,214,171,30.9,20.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",049,15 years,0,20,0,20,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",050,16 to 17 years,0,20,0,20,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",051,18 to 24 years,191,141,132,126,69.1,33.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",052,25 to 34 years,289,183,126,146,43.6,34.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",053,35 to 44 years,73,73,0,20,0,37.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",054,45 to 54 years,275,172,72,67,26.2,22.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",055,55 to 64 years,128,79,71,88,55.5,48.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",056,65 to 74 years,164,73,0,20,0,20.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",057,75 years and over,148,88,0,20,0,22.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",058,Mean income deficit for unrelated individuals (dollars),7016,1741,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",059,"Worked full-time, year-round in the past 12 months",396,178,18,35,4.5,8.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",060,"Worked less than full-time, year-round in the past 12 months",546,299,288,214,52.7,22.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",061,Did not work,326,127,95,84,29.1,21
