GEO_ID,NAME,line_no,label,total,total_moe,total_pct,total_pct_moe,male,male_moe,male_pct,male_pct_moe,female,female_moe,female_pct,female_pct_moe
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",001,Population 18 to 24 years,927,370,,,465,308,,,462,232,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",002,Less than high school graduate,47,39,5.1,4.8,23,38,4.9,8,24,33,5.2,7.6
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",003,High school graduate (includes equivalency),521,331,56.2,19.2,242,261,52,30.2,279,226,60.4,26.8
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",004,Some college or associate's degree,209,130,22.5,14.8,84,84,18.1,22,125,81,27.1,21.3
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",005,Bachelor's degree or higher,150,114,16.2,12.3,116,109,24.9,24.1,34,41,7.4,9.5
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",006,Population 25 years and over,5798,581,,,2730,361,,,3068,378,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",007,Less than 9th grade,144,119,2.5,2,22,39,0.8,1.4,122,102,4,3.3
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",008,"9th to 12th grade, no diploma",471,142,8.1,2.6,278,135,10.2,5.1,193,98,6.3,3.2
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",009,High school graduate (includes equivalency),1878,444,32.4,7.5,1035,291,37.9,9.4,843,292,27.5,9.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",010,"Some college, no degree",1501,409,25.9,6.1,565,209,20.7,7.1,936,314,30.5,8.6
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",011,Associate's degree,647,237,11.2,3.8,352,168,12.9,5.9,295,157,9.6,4.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",012,Bachelor's degree,613,258,10.6,4.3,280,176,10.3,6.2,333,165,10.9,5.2
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",013,Graduate or professional degree,544,254,9.4,4.1,198,135,7.3,4.9,346,212,11.3,6.7
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",014,High school graduate or higher,5183,588,89.4,3.1,2430,374,89,5.2,2753,380,89.7,4.7
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",015,Bachelor's degree or higher,1157,378,20,5.9,478,229,17.5,7.8,679,264,22.1,8.2
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",016,Population 25 to 34 years,1259,426,,,644,258,,,615,279,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",017,High school graduate or higher,1235,425,98.1,3.4,620,256,96.3,6.7,615,279,100,5.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",018,Bachelor's degree or higher,488,254,38.8,14.7,270,182,41.9,21.9,218,167,35.4,24.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",019,Population 35 to 44 years,1339,223,,,674,190,,,665,158,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",020,High school graduate or higher,1220,233,91.1,7.3,579,167,85.9,13.2,641,161,96.4,5
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",021,Bachelor's degree or higher,356,216,26.6,15.9,141,111,20.9,15.9,215,143,32.3,22.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",022,Population 45 to 64 years,1931,350,,,858,162,,,1073,263,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",023,High school graduate or higher,1654,361,85.7,6.9,724,165,84.4,11.4,930,262,86.7,7.7
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",024,Bachelor's degree or higher,264,150,13.7,6.9,37,47,4.3,5.2,227,139,21.2,11.6
