GEO_ID,NAME,line_no,label,total,total_moe,below_pl,below_pl_moe,below_pl_pct,below_pl_pct_moe
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",001,Population for whom poverty status is determined,7979,1116,719,632,9,7.7
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",002,Under 18 years,2341,574,364,430,15.5,16.6
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",003,Under 5 years,746,393,199,284,26.7,33.6
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",004,5 to 17 years,1595,315,165,187,10.3,11.4
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",005,Related children of householder under 18 years,2341,574,364,430,15.5,16.6
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",006,18 to 64 years,5140,758,299,226,5.8,4.5
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",007,18 to 34 years,2134,610,197,195,9.2,9.3
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",008,35 to 64 years,3006,469,102,98,3.4,3.2
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",009,60 years and over,859,238,56,87,6.5,10.2
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",010,65 years and over,498,151,56,87,11.2,16.2
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",011,Male,4239,698,181,168,4.3,4
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",012,Female,3740,673,538,512,14.4,12.7
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",013,White alone,2855,743,101,212,3.5,6.7
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",014,Black or African American alone,258,292,0,19,0,15.1
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",015,American Indian and Alaska Native alone,28,46,0,19,0,64.1
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",016,Asian alone,0,19,0,19,,
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",017,Native Hawaiian and Other Pacific Islander alone,0,19,0,19,,
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",018,Some other race alone,4355,1255,618,595,14.2,13.5
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",019,Two or more races,483,346,0,19,0,8.4
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",020,Hispanic or Latino origin (of any race),6097,1259,682,632,11.2,10.3
1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",021,"White alone, not Hispanic or Latino",1524,367,37,46,2.4,3.1
